muni_id,uf_sigla,muni_nm,idhm,lat,lon
2910503,BA,ENTRE RIOS,0.615,-11.942,-38.084
2910602,BA,ESPLANADA,0.589,-11.796,-37.945
2910701,BA,EUCLIDES DA CUNHA,0.567,-10.508,-39.014
2910727,BA,EUNÁPOLIS,0.677,-16.378,-39.58
2910776,BA,FEIRA DA MATA,0.588,-14.207,-44.281
2910800,BA,FEIRA DE SANTANA,0.712,-12.267,-38.967
2910859,BA,FILADÉLFIA,0.565,-10.741,-40.133
2910909,BA,FIRMINO ALVES,0.578,-14.985,-39.924
2911006,BA,FLORESTA AZUL,0.557,-14.86,-39.66
2911105,BA,FORMOSA DO RIO PRETO,0.618,-11.048,-45.193
2910750,BA,FÁTIMA,0.559,-10.6,-38.217
2911204,BA,GANDU,0.632,-13.744,-39.487
2911253,BA,GAVIÃO,0.599,-11.471,-39.784
2911303,BA,GENTIO DO OURO,0.559,-11.429,-42.506
2911402,BA,GLÓRIA,0.593,-9.339,-38.257
2911501,BA,GONGOGI,0.576,-14.322,-39.465
2911600,BA,GOVERNADOR MANGABEIRA,0.643,-12.602,-39.043
2911659,BA,GUAJERU,0.569,-14.547,-41.94
2911709,BA,GUANAMBI,0.673,-14.223,-42.781
2911808,BA,GUARATINGA,0.558,-16.584,-39.783
2911857,BA,HELIÓPOLIS,0.563,-10.683,-38.286
2911907,BA,IAÇU,0.574,-12.767,-40.212
2912004,BA,IBIASSUCÊ,0.611,-14.259,-42.257
2912103,BA,IBICARAÍ,0.625,-14.865,-39.588
2912202,BA,IBICOARA,0.591,-13.411,-41.285
2912301,BA,IBICUÍ,0.584,-14.842,-39.987
2912400,BA,IBIPEBA,0.616,-11.641,-42.011
2912509,BA,IBIPITANGA,0.584,-12.882,-42.486
2912608,BA,IBIQUERA,0.511,-12.651,-40.934
2912707,BA,IBIRAPITANGA,0.558,-14.164,-39.374
2912806,BA,IBIRAPUÃ,0.614,-17.688,-40.109
2912905,BA,IBIRATAIA,0.576,-14.067,-39.641
2913002,BA,IBITIARA,0.585,-12.652,-42.218
2913101,BA,IBITITÁ,0.602,-11.547,-41.978
2913200,BA,IBOTIRAMA,0.636,-12.185,-43.221
2913309,BA,ICHU,0.631,-11.749,-39.192
2913408,BA,IGAPORÃ,0.614,-13.773,-42.714
2913457,BA,IGRAPIÚNA,0.574,-13.826,-39.142
2913507,BA,IGUAÍ,0.552,-14.756,-40.089
2913606,BA,ILHÉUS,0.69,-14.789,-39.049
2913705,BA,INHAMBUPE,0.565,-11.784,-38.353
2913804,BA,IPECAETÁ,0.55,-12.3,-39.308
2913903,BA,IPIAÚ,0.67,-14.137,-39.734
2914000,BA,IPIRÁ,0.549,-12.158,-39.737
2914109,BA,IPUPIARA,0.59,-11.82,-42.614
2914208,BA,IRAJUBA,0.576,-13.251,-40.084
2914307,BA,IRAMAIA,0.571,-13.286,-40.951
2914406,BA,IRAQUARA,0.599,-12.249,-41.619
2914505,BA,IRARÁ,0.62,-12.05,-38.767
2914604,BA,IRECÊ,0.691,-11.304,-41.856
2914653,BA,ITABELA,0.599,-16.575,-39.553
2914703,BA,ITABERABA,0.62,-12.528,-40.307
2914802,BA,ITABUNA,0.712,-14.786,-39.28
2914901,BA,ITACARÉ,0.583,-14.278,-38.997
2915007,BA,ITAETÉ,0.572,-12.986,-40.973
2915106,BA,ITAGI,0.543,-14.163,-40.006
2915205,BA,ITAGIBÁ,0.589,-14.284,-39.843
2915304,BA,ITAGIMIRIM,0.634,-16.087,-39.614
2915353,BA,ITAGUAÇU DA BAHIA,0.562,-11.012,-42.399
2915403,BA,ITAJU DO COLÔNIA,0.592,-15.143,-39.724
2915502,BA,ITAJUÍPE,0.599,-14.678,-39.375
2915601,BA,ITAMARAJU,0.627,-17.039,-39.531
2915700,BA,ITAMARI,0.578,-13.778,-39.684
2915809,BA,ITAMBÉ,0.578,-15.245,-40.624
2915908,BA,ITANAGRA,0.584,-12.263,-38.042
2916005,BA,ITANHÉM,0.637,-17.166,-40.33
2916104,BA,ITAPARICA,0.67,-12.888,-38.679
2916302,BA,ITAPEBI,0.572,-15.951,-39.534
2916401,BA,ITAPETINGA,0.667,-15.249,-40.248
2916500,BA,ITAPICURU,0.486,-11.317,-38.233
2916609,BA,ITAPITANGA,0.571,-14.423,-39.565
2916203,BA,ITAPÉ,0.599,-14.898,-39.421
2916708,BA,ITAQUARA,0.553,-13.451,-39.941
2916807,BA,ITARANTIM,0.61,-15.66,-40.066
2916856,BA,ITATIM,0.582,-12.712,-39.698
2916906,BA,ITIRUÇU,0.6,-13.532,-40.15
2917003,BA,ITIÚBA,0.544,-10.691,-39.853
2917102,BA,ITORORÓ,0.594,-15.117,-40.07
2917201,BA,ITUAÇU,0.57,-13.813,-41.297
2917300,BA,ITUBERÁ,0.606,-13.732,-39.149
2917334,BA,IUIÚ,0.591,-14.414,-43.554
2917359,BA,JABORANDI,0.613,-13.619,-44.433
2917409,BA,JACARACI,0.593,-14.85,-42.433
2917508,BA,JACOBINA,0.649,-11.181,-40.518
2917607,BA,JAGUAQUARA,0.58,-13.531,-39.971
2917706,BA,JAGUARARI,0.659,-10.26,-40.196
2917805,BA,JAGUARIPE,0.556,-13.113,-38.896
2917904,BA,JANDAÍRA,0.55,-11.564,-37.784
2918001,BA,JEQUIÉ,0.665,-13.858,-40.084
2918100,BA,JEREMOABO,0.547,-10.067,-38.35
2918209,BA,JIQUIRIÇÁ,0.553,-13.257,-39.572
2918308,BA,JITAÚNA,0.575,-14.019,-39.889
2918357,BA,JOÃO DOURADO,0.593,-11.35,-41.664
2918407,BA,JUAZEIRO,0.677,-9.414,-40.503
2918456,BA,JUCURUÇU,0.541,-16.843,-40.159
2918506,BA,JUSSARA,0.571,-11.047,-41.969
2918555,BA,JUSSARI,0.567,-15.191,-39.495
2918605,BA,JUSSIAPE,0.602,-13.517,-41.593
2918704,BA,LAFAIETE COUTINHO,0.599,-13.656,-40.213
2918753,BA,LAGOA REAL,0.545,-14.035,-42.142
2918803,BA,LAJE,0.586,-13.182,-39.425
2919009,BA,LAJEDINHO,0.546,-12.356,-40.906
2919058,BA,LAJEDO DO TABOCAL,0.584,-13.475,-40.224
2918902,BA,LAJEDÃO,0.632,-17.614,-40.345
2919108,BA,LAMARÃO,0.518,-11.783,-38.9
2919157,BA,LAPÃO,0.596,-11.383,-41.832
2919207,BA,LAURO DE FREITAS,0.754,-12.894,-38.327
2919306,BA,LENÇÓIS,0.623,-12.563,-41.39
2919405,BA,LICÍNIO DE ALMEIDA,0.621,-14.682,-42.508
2919504,BA,LIVRAMENTO DE NOSSA SENHORA,0.611,-13.643,-41.841
2919553,BA,LUÍS EDUARDO MAGALHÃES,0.716,-12.092,-45.805
2919603,BA,MACAJUBA,0.524,-12.136,-40.36
2919702,BA,MACARANI,0.605,-15.568,-40.423
2919801,BA,MACAÚBAS,0.609,-13.019,-42.699
2919900,BA,MACURURÉ,0.604,-9.168,-39.058
2919926,BA,MADRE DE DEUS,0.708,-12.741,-38.621
2919959,BA,MAETINGA,0.538,-14.663,-41.492
2920007,BA,MAIQUINIQUE,0.576,-15.621,-40.266
2920106,BA,MAIRI,0.572,-11.711,-40.149
2920205,BA,MALHADA,0.562,-14.336,-43.774
2920304,BA,MALHADA DE PEDRAS,0.578,-14.388,-41.879
2920403,BA,MANOEL VITORINO,0.566,-14.145,-40.243
2920452,BA,MANSIDÃO,0.599,-10.716,-44.034
